assists;baronKills;bountyLevel;12AssistStreakCount;abilityUses;acesBefore15Minutes;alliedJungleMonsterKills;baronTakedowns;blastConeOppositeOpponentCount;bountyGold;buffsStolen;completeSupportQuestInTime;controlWardsPlaced;damagePerMinute;damageTakenOnTeamPercentage;dancedWithRiftHerald;deathsByEnemyChamps;dodgeSkillShotsSmallWindow;doubleAces;dragonTakedowns;effectiveHealAndShielding;elderDragonKillsWithOpposingSoul;elderDragonMultikills;enemyChampionImmobilizations;enemyJungleMonsterKills;epicMonsterKillsNearEnemyJungler;epicMonsterKillsWithin30SecondsOfSpawn;epicMonsterSteals;epicMonsterStolenWithoutSmite;flawlessAces;fullTeamTakedown;gameLength;getTakedownsInAllLanesEarlyJungleAsLaner;goldPerMinute;hadAfkTeammate;hadOpenNexus;immobilizeAndKillWithAlly;initialBuffCount;initialCrabCount;jungleCsBefore10Minutes;junglerTakedownsNearDamagedEpicMonster;kTurretsDestroyedBeforePlatesFall;kda;killAfterHiddenWithAlly;killParticipation;killedChampTookFullTeamDamageSurvived;killsNearEnemyTurret;killsOnOtherLanesEarlyJungleAsLaner;killsOnRecentlyHealedByAramPack;killsUnderOwnTurret;killsWithHelpFromEpicMonster;knockEnemyIntoTeamAndKill;landSkillShotsEarlyGame;laneMinionsFirst10Minutes;legendaryCount;lostAnInhibitor;maxCsAdvantageOnLaneOpponent;maxKillDeficit;maxLevelLeadLaneOpponent;moreEnemyJungleThanOpponent;multiKillOneSpell;multiTurretRiftHeraldCount;multikills;multikillsAfterAggressiveFlash;outerTurretExecutesBefore10Minutes;outnumberedKills;outnumberedNexusKill;perfectDragonSoulsTaken;perfectGame;pickKillWithAlly;poroExplosions;quickCleanse;quickFirstTurret;quickSoloKills;riftHeraldTakedowns;saveAllyFromDeath;scuttleCrabKills;skillshotsDodged;skillshotsHit;snowballsHit;soloBaronKills;soloKills;soloTurretsLategame;stealthWardsPlaced;survivedSingleDigitHpCount;survivedThreeImmobilizesInFight;takedownOnFirstTurret;takedowns;takedownsAfterGainingLevelAdvantage;takedownsBeforeJungleMinionSpawn;takedownsFirstXMinutes;takedownsInAlcove;takedownsInEnemyFountain;teamBaronKills;teamDamagePercentage;teamElderDragonKills;teamRiftHeraldKills;threeWardsOneSweeperCount;tookLargeDamageSurvived;turretPlatesTaken;turretTakedowns;turretsTakenWithRiftHerald;twentyMinionsIn3SecondsCount;unseenRecalls;visionScoreAdvantageLaneOpponent;visionScorePerMinute;wardTakedowns;wardTakedownsBefore20M;wardsGuarded;champExperience;champLevel;championId;championName;championTransform;consumablesPurchased;damageDealtToBuildings;damageDealtToObjectives;damageDealtToTurrets;damageSelfMitigated;deaths;detectorWardsPlaced;doubleKills;dragonKills;eligibleForProgression;firstBloodAssist;firstBloodKill;firstTowerAssist;firstTowerKill;gameEndedInEarlySurrender;gameEndedInSurrender;goldEarned;goldSpent;individualPosition;inhibitorKills;inhibitorTakedowns;inhibitorsLost;item0;item1;item2;item3;item4;item5;item6;itemsPurchased;killingSprees;kills;lane;largestCriticalStrike;largestKillingSpree;largestMultiKill;longestTimeSpentLiving;magicDamageDealt;magicDamageDealtToChampions;magicDamageTaken;neutralMinionsKilled;nexusKills;nexusLost;nexusTakedowns;objectivesStolen;objectivesStolenAssists;participantId;pentaKills;physicalDamageDealt;physicalDamageDealtToChampions;physicalDamageTaken;profileIcon;puuid;quadraKills;riotIdName;riotIdTagline;role;sightWardsBoughtInGame;spell1Casts;spell2Casts;spell3Casts;spell4Casts;summoner1Casts;summoner1Id;summoner2Casts;summoner2Id;summonerId;summonerLevel;summonerName;teamEarlySurrendered;teamId;teamPosition;timeCCingOthers;timePlayed;totalDamageDealt;totalDamageDealtToChampions;totalDamageShieldedOnTeammates;totalDamageTaken;totalHeal;totalHealsOnTeammates;totalMinionsKilled;totalTimeCCDealt;totalTimeSpentDead;totalUnitsHealed;tripleKills;trueDamageDealt;trueDamageDealtToChampions;trueDamageTaken;turretKills;turretsLost;unrealKills;visionScore;visionWardsBoughtInGame;wardsKilled;wardsPlaced;win;timestamp;date;earlyLaningPhaseGoldExpAdvantage;laningPhaseGoldExpAdvantage;mythicItemUsed;baronBuffGoldAdvantageOverThreshold;earliestBaron;earliestDragonTakedown;highestChampionDamage;shortestTimeToAceFromFirstTakedown;junglerKillsEarlyJungle;killsOnLanersEarlyJungleAsJungler;firstTurretKilledTime;highestWardKills;highestCrowdControlScore;controlWardTimeCoverageInRiverOrEnemyHalf;teleportTakedowns;earliestElderDragon;fasterSupportQuestCompletion;thirdInhibitorDestroyedTime
12;0;1;0;230;0;2.0000000298023224;0;0;0;0;0;0;915.3046845811957;0.14705113318402022;0;8;105;0;2;0;0;0;0;0;1;0;1;1;0;3;1863.3740105;0;403.17687816449774;0;0;0;0;0;0;0;0;2.25;2;0.6;0;1;0;0;1;0;0;13;70;0;0;44.60000002384186;0;2;-114.00000005960464;0;0;1;0;0;3;0;0;0;15;0;0;0;0;0;0;0;24;115;0;0;3;3;6;0;0;0;18;0;0;4;0;0;0;0.28549377855923447;0;0;0;0;1;0;0;0;0;-0.4131179451942444;0.3336840071750336;2;1;0;15299;16;21;MissFortune;0;2;562;3965;562;10769;8;0;1;2;True;False;False;False;False;False;False;12521;11400;BOTTOM;0;0;2;3042;6692;6694;3158;3134;1036;3340;24;1;6;BOTTOM;768;2;2;396;20288;5060;4389;10;0;1;0;1;0;9;0;123029;22651;15225;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;CARRY;0;71;77;71;11;4;3;4;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;200;BOTTOM;19;1863;152876;28425;0;20270;571;0;205;368;241;1;0;9559;714;656;0;10;0;10;0;2;6;False;1655926182.91;06/22/2022 - 21:29:42;0;0;6692;;;888.6497657;;;;;;;;;;;;
4;0;1;0;142;0;0;0;0;0;0;0;1;561.3335646260477;0.10960779395147864;0;1;63;0;0;0;0;0;0;0;0;0;0;0;0;0;1240.2228457535477;0;405.0433085987305;0;0;0;0;0;0;0;0;10;0;0.43478260869565216;0;0;1;0;1;0;0;8;56;0;0;2;1;1;-111.50000005960464;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;52;33;0;0;0;1;4;0;14;0;10;0;0;8;1;0;0;0.24345342976156886;0;1;0;0;2;0;0;0;0;0.170812726020813;0.917770742493306;2;2;1;7498;11;21;MissFortune;0;3;1577;1577;1577;2661;1;1;0;0;True;False;False;False;False;False;True;8372;7525;BOTTOM;0;0;0;3042;6692;1036;3158;1036;0;3340;15;1;6;BOTTOM;515;5;1;1089;13424;3319;3752;0;0;0;0;0;0;9;0;55145;8097;2392;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;CARRY;0;48;47;45;2;3;3;3;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;200;BOTTOM;15;1240;71621;11602;0;6620;0;0;148;258;33;0;0;3051;186;476;0;1;0;18;1;2;5;True;1655923993.491;06/22/2022 - 20:53:13;0;0;6692;;;;;;;;828.2706435986264;;1;;;;;
7;0;0;0;230;0;7;1;0;450;0;0;0;1214.606493460128;0.16399183195404102;0;9;110;0;2;0;0;0;0;0;0;1;0;0;0;1;1928.3162747449005;0;474.5648344803092;0;0;0;0;0;0;1;0;2.111111111111111;1;0.5588235294117647;0;3;1;0;3;0;0;8;66;0;0;39.99999997019768;0;1;-122.00000008940697;0;0;2;0;0;6;0;0;0;14;0;0;0;0;0;0;0;43;112;0;0;3;2;8;0;2;0;19;0;0;7;0;0;1;0.3132372661907757;0;0;0;0;4;2;0;0;0;-0.26226598024368286;0.46213657425715227;2;2;0;15488;16;21;MissFortune;0;2;7187;18848;7187;13927;9;0;2;1;True;False;False;False;False;False;False;15251;13500;BOTTOM;0;0;1;2421;3158;6694;6692;3814;3042;3340;23;5;12;BOTTOM;820;2;2;439;19869;4042;9473;16;0;1;0;0;0;4;0;147477;32667;13235;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;CARRY;0;69;85;66;10;7;3;5;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;100;BOTTOM;24;1928;171309;39035;0;24812;1120;0;196;530;244;1;0;3961;2325;2103;2;9;0;14;0;2;8;False;1655922084.377;06/22/2022 - 20:21:24;0;0;6692;;1578.8943647354804;883.1759223004233;;;;;835.041099134703;;1;;;;;
17;0;0;0;184;0;0;0;0;300;2;0;3;281.96723890542097;0.1709149968200507;0;7;27;0;0;0;0;0;65;8;0;0;0;0;0;0;2241.8946339215895;;241.73509369038197;0;0;10;0;0;4;0;0;2.5714285714285716;5;0.46153846153846156;0;0;;0;0;0;7;0;13;0;0;0;0;1;-113.00000005960464;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;49;16;0;0;0;1;21;0;4;0;18;0;0;5;0;0;0;0.06968687250903874;0;1;0;0;0;2;10;0;0;0.741693377494812;1.6918403061711778;3;3;0;14421;15;53;Blitzcrank;0;5;311;311;311;41550;7;3;0;0;True;False;False;False;False;False;True;9032;8325;UTILITY;0;0;2;3857;3001;3050;3047;3067;3801;3364;24;0;1;JUNGLE;0;0;1;697;14296;5834;17842;8;0;0;0;0;0;10;0;10065;3698;15107;5258;XLkS00I10bUiGALtHF4eUB_gR13g-ymiYR64g5a_AvIXBg5hOPHh1p563gd31xZT07mVEvTNMk0t1g;0;;;NONE;0;57;63;48;16;8;3;8;4;jNsuWFR4YAcqguOrvFj2rsuFF8hiXw65n3bkPVw-QuZbBxw;587;PXL UwU ;False;200;UTILITY;76;2241;31424;10535;0;35775;1798;0;27;534;220;1;0;7061;1003;2826;0;8;0;63;3;3;24;False;1655919728.815;06/22/2022 - 19:42:08;0;0;3001;;;;;;0;0;741.1639840139469;;;0.04921329948547856;;;;
4;0;2;0;623;0;4;0;0;0;0;0;1;918.9834231860176;0.2733624078946463;0;3;57;0;0;0;0;0;0;0;0;0;0;0;0;0;1229.1495770635424;0;428.14553424895706;0;0;0;0;0;0;0;0;3.6666666666666665;1;0.5238095238095238;0;4;2;0;0;0;0;117;68;0;0;45;0;0;-104.00000005960464;0;0;2;0;0;1;0;0;0;10;0;0;0;0;0;0;0;22;511;0;0;0;0;5;0;2;0;11;0;1;6;2;0;0;0.344634444265852;0;2;0;0;4;1;0;0;0;-0.1205681562423706;0.4713816655360154;0;0;0;7869;11;221;Zeri;0;2;1621;1621;1621;10830;3;1;2;0;True;True;False;False;False;False;True;8770;7155;BOTTOM;0;0;0;6672;1036;3006;1055;3086;1036;3363;15;3;7;MIDDLE;416;2;2;584;20883;6876;8379;4;0;0;0;0;0;4;0;62275;9846;10870;4414;khXQos6v2wgjg-I_kFMb72wf4MlXleo2YarLf3FKEE4-khS4zPxOCrnbGAj446qcVE7WBcnCmbBsCw;0;;;DUO;0;569;33;16;5;3;4;3;3;hQmh7IdYN8vC4_1JavWtnbG3PklEz33Prx6tyg2Hxd5LjoE;354;AeronSama;False;100;BOTTOM;10;1229;98046;18826;0;19719;723;0;144;105;76;1;0;14886;2102;470;1;0;0;9;1;0;6;True;1655932798.313;06/22/2022 - 23:19:58;0;0;6672;;;;1;;;;845.8977881702481;;;0.08704617683189586;;;;
11;0;0;0;162;0;20;1;0;800;0;0;0;835.5649236971709;0.1524718711894224;0;5;9;0;1;0;0;0;15;0;0;0;0;0;0;2;1880.5170226;0;416.98773775433943;0;0;5;0;0;0;1;0;3.6;4;0.5625;0;1;0;0;0;0;0;0;65;0;0;12.499999970197678;0;2;-101.50000002980232;0;0;1;0;0;1;0;0;0;14;0;0;0;0;0;0;0;6;21;0;0;0;3;5;0;2;0;18;0;0;3;0;0;1;0.261698528645773;0;0;0;0;0;0;0;0;1;2.1515960693359375;0.5594246209632837;1;0;0;13455;15;202;Jhin;0;1;511;13124;511;11838;5;0;1;0;True;False;False;False;False;False;False;13069;12450;BOTTOM;0;0;1;6671;6676;3009;3031;1042;3123;3363;20;1;7;BOTTOM;1222;6;2;877;6810;2027;4508;22;0;1;0;0;0;4;0;150115;23281;13114;4414;khXQos6v2wgjg-I_kFMb72wf4MlXleo2YarLf3FKEE4-khS4zPxOCrnbGAj446qcVE7WBcnCmbBsCw;0;;;CARRY;0;69;36;22;35;4;4;5;3;hQmh7IdYN8vC4_1JavWtnbG3PklEz33Prx6tyg2Hxd5LjoE;354;AeronSama;False;100;BOTTOM;31;1880;161632;26188;0;20267;2861;0;175;161;112;1;0;4706;878;2645;0;10;0;17;0;1;8;False;1655931226.819;06/22/2022 - 22:53:46;0;0;6671;1;1306.4828014;710.8928182;;23.377434399999856;;;;;;;;;;
9;0;0;0;107;0;23.000000089406967;0;0;0;0;0;1;887.4231921987686;0.14728017248710526;0;6;58;0;2;0;0;0;0;0;0;0;0;0;0;0;2088.8268581809916;0;380.6600561959328;0;0;0;0;0;0;0;0;2.1666666666666665;2;0.5909090909090909;0;1;0;0;1;0;0;0;74;0;0;57.000000059604645;0;1;-126.00000008940697;0;0;1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;37;5;0;0;0;1;8;0;5;0;13;0;0;4;0;0;0;0.26674560765239874;0;1;0;0;1;0;5;0;0;0.5683313608169556;1.112754434276598;8;4;1;14291;15;29;Twitch;0;5;1213;8954;1213;11577;6;1;1;0;True;True;False;False;False;False;False;13252;13000;BOTTOM;0;0;2;3140;6672;3085;3153;3006;1037;3363;20;1;4;BOTTOM;509;3;2;660;619;619;5693;28;0;1;0;0;0;9;0;167737;23655;13742;4414;khXQos6v2wgjg-I_kFMb72wf4MlXleo2YarLf3FKEE4-khS4zPxOCrnbGAj446qcVE7WBcnCmbBsCw;0;;;CARRY;0;43;28;24;12;5;4;6;3;hQmh7IdYN8vC4_1JavWtnbG3PklEz33Prx6tyg2Hxd5LjoE;354;AeronSama;False;200;BOTTOM;15;2088;212374;30894;0;22256;366;0;231;293;187;1;0;44017;6619;2820;0;10;0;38;1;8;12;False;1655834660.439;06/21/2022 - 20:04:20;0;0;6672;;;414.3950743249587;;;;;837.3645045908772;;;;;;;
13;0;1;0;178;0;28.000000059604645;3;0;150;3;0;2;1327.4728306239022;0.2617373058892128;0;7;47;0;4;0;0;0;13;15;0;0;0;0;0;5;2494.973379939822;0;516.4702210795051;0;0;3;0;0;0;0;0;4.285714285714286;8;0.6521739130434783;0;3;1;0;0;1;3;11;62;0;1;4;1;3;-123.00000005960464;0;0;6;1;0;2;0;0;0;28;0;0;0;0;0;0;1;34;104;0;0;0;4;6;0;10;0;30;0;1;7;0;0;3;0.3323485734748338;1;0;0;1;0;7;0;0;0;0.32643914222717285;0.9159524061866581;11;5;1;20934;18;67;Vayne;0;5;12982;58781;12982;31058;7;2;2;1;True;False;True;False;False;False;False;21476;23380;BOTTOM;1;2;1;3139;3046;3153;6673;3033;3124;3363;26;4;17;BOTTOM;294;7;5;494;8366;4206;14049;55;0;0;1;0;0;9;1;239207;35035;25923;4414;khXQos6v2wgjg-I_kFMb72wf4MlXleo2YarLf3FKEE4-khS4zPxOCrnbGAj446qcVE7WBcnCmbBsCw;1;;;CARRY;0;153;0;12;13;5;4;5;3;hQmh7IdYN8vC4_1JavWtnbG3PklEz33Prx6tyg2Hxd5LjoE;353;AeronSama;False;200;BOTTOM;19;2494;300657;55200;0;43680;8120;0;218;242;239;1;2;53083;15958;3707;6;6;0;38;2;11;14;True;1655758649.936;06/20/2022 - 22:57:29;0;0;6673;1;1416.225147355956;681.6718447007928;1;16.130028682378224;;;;;;0.07412344029088141;;2169.292263741026;;
5;1;2;0;173;0;28.500000029802322;1;0;0;3;0;2;632.7573372042268;0.1758363095621132;0;7;172;0;1;0;0;0;2;16.000000029802322;0;0;0;0;0;0;1865.7574544551862;0;490.6392236979201;0;0;1;0;0;0;0;0;2.857142857142857;2;0.5128205128205128;0;6;0;0;0;0;0;6;55;0;0;22;0;2;-114.00000005960464;0;0;1;0;0;0;0;1;0;16;0;1;0;0;1;0;0;169;17;0;0;2;1;5;0;0;0;20;0;1;12;3;0;1;0.19780385984491494;1;2;0;0;3;3;5;0;0;0.4294551610946655;0.8246670073106034;5;3;1;13688;15;429;Kalista;0;3;3683;16838;3683;21832;7;2;1;0;True;False;True;False;False;False;False;15256;14440;BOTTOM;1;2;0;3139;3153;3124;0;6673;3006;3363;27;4;15;BOTTOM;263;7;2;472;3036;2345;7702;51;0;0;1;0;0;9;0;149768;16109;12225;4414;khXQos6v2wgjg-I_kFMb72wf4MlXleo2YarLf3FKEE4-khS4zPxOCrnbGAj446qcVE7WBcnCmbBsCw;0;;;CARRY;0;64;7;100;2;4;4;5;3;hQmh7IdYN8vC4_1JavWtnbG3PklEz33Prx6tyg2Hxd5LjoE;353;AeronSama;False;200;BOTTOM;13;1865;155955;19676;0;21747;1225;0;156;212;210;1;0;3150;1220;1820;1;1;0;25;2;5;10;True;1655579536.794;06/18/2022 - 21:12:16;0;0;6673;1;1760.8653927081918;958.4752645938611;;;;;862.8321102009054;1;;0.07423101155026082;;1690.13174096127;;
24;0;1;1;236;0;0;1;0;0;0;1;4;647.8081876021095;0.11128849602246461;0;3;112;0;0;0;0;0;18;0;0;0;0;0;1;2;2309.602386279917;0;284.61138788645695;0;0;10;0;0;0;0;0;9;9;0.6585365853658537;0;0;0;0;0;0;0;24;4;0;0;16;1;2;-124.00000008940697;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;25;202;0;0;0;3;24;0;0;0;27;0;0;6;1;0;1;0.1653772084107194;0;0;0;0;0;3;0;0;0;-0.18921107053756714;1.832635622511263;6;2;0;15915;16;22;Ashe;0;7;1140;2749;1140;5680;3;4;0;0;True;False;False;False;False;False;True;10955;10050;UTILITY;0;1;0;3864;3158;6696;4005;6609;0;3364;26;0;3;BOTTOM;176;0;1;957;12402;9699;6608;0;0;0;0;0;0;10;0;52585;13843;6390;5387;V2R-PdStOTRlf7hzAh9ErJNNjwG7xaEC3s0kEfMU6SfPacjl6lZSzHYyjrf93wCdQ5t4VL4I5zuC6g;0;;;SUPPORT;0;2;190;18;26;4;4;5;3;LQeU_t1A9C5sQiCndRCMSYfF-q55ysh7XjhEMBrHF7FlaOc;561;Babyface Ray;False;200;UTILITY;76;2309;66441;24936;0;14022;1686;0;29;611;90;1;0;1453;1393;1023;1;6;0;70;4;6;28;True;1655931354.584;06/22/2022 - 22:55:54;0;0;4005;1;1925.03677118521;;;31.73765632733648;;;;;;0.15973007726567096;;;;
3;0;0;0;105;0;0;0;0;0;0;0;3;405.3885403528138;0.11584375585816407;0;6;35;0;0;0;0;0;8;0;0;0;0;0;0;0;1388.4581901911506;0;220.03961855330647;0;0;2;0;0;0;0;0;0.5;0;0.3;0;0;0;0;0;0;0;12;6;0;0;19.25;0;1;-105.90000009536743;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;83;0;0;0;2;10;0;0;0;3;0;0;2;0;0;0;0.16691238711681983;0;0;0;0;0;0;0;0;0;-0.6048773527145386;0.9914341221724644;3;3;0;7611;11;22;Ashe;0;7;0;943;0;4657;6;3;0;0;True;False;False;False;False;False;False;5091;4825;UTILITY;0;0;3;3864;2055;3158;4005;1036;0;3363;18;0;0;BOTTOM;108;0;0;294;4174;3764;3542;1;0;1;0;0;0;5;0;27148;5328;6381;5387;V2R-PdStOTRlf7hzAh9ErJNNjwG7xaEC3s0kEfMU6SfPacjl6lZSzHYyjrf93wCdQ5t4VL4I5zuC6g;0;;;SUPPORT;0;5;82;7;11;4;4;4;3;LQeU_t1A9C5sQiCndRCMSYfF-q55ysh7XjhEMBrHF7FlaOc;561;Babyface Ray;False;100;UTILITY;46;1388;31610;9381;0;10077;0;0;28;463;130;0;0;288;288;153;0;11;0;22;5;3;13;False;1655928479.869;06/22/2022 - 22:07:59;0;0;;;;;;;;;;;;0.043837276317183975;;;;
5;0;0;0;133;0;0;1;0;0;0;0;3;381.82356950214967;0.14995611369080777;0;4;52;0;1;0;0;0;8;0;0;0;0;0;0;0;1634.7669157154685;0;255.93931405429655;0;0;4;0;0;0;0;0;1.5;1;0.35294117647058826;0;0;0;0;0;0;0;15;7;0;0;9;5;1;-98.00000002980232;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;28;97;0;0;1;1;15;0;0;0;6;0;0;1;0;0;1;0.1733344394444091;0;1;0;0;0;0;0;0;0;0.13423538208007812;1.7499489151615288;3;2;0;8717;12;22;Ashe;0;5;647;2388;647;5329;4;3;0;0;True;False;False;False;False;False;False;6973;6175;UTILITY;0;0;0;3864;3133;3158;4005;3070;1036;3364;18;0;1;BOTTOM;143;0;1;828;5679;3622;8649;0;0;0;0;0;0;5;0;27258;6389;4925;5387;V2R-PdStOTRlf7hzAh9ErJNNjwG7xaEC3s0kEfMU6SfPacjl6lZSzHYyjrf93wCdQ5t4VL4I5zuC6g;0;;;SUPPORT;0;4;104;12;13;2;4;5;3;LQeU_t1A9C5sQiCndRCMSYfF-q55ysh7XjhEMBrHF7FlaOc;561;Babyface Ray;False;100;UTILITY;36;1634;33565;10403;0;14008;1348;0;24;411;90;1;0;627;391;433;0;3;0;47;3;3;18;True;1655926676.759;06/22/2022 - 21:37:56;0;0;4005;;1507.2700823632545;1051.2749319341794;;;;;868.0216187386478;;;0.0160870354355278;;;;
14;0;0;0;232;0;0.5;4;0;500;0;1;3;757.6176848115236;0.11111741944772471;0;6;168;0;4;0;0;0;16;0;1;0;0;0;0;2;2208.1651398537333;0;280.04290322392325;0;0;2;0;0;0;0;0;2.6666666666666665;4;0.5925925925925926;0;0;0;0;0;1;0;14;4;0;0;42.5;0;1;-114.90000003576279;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;5;215;0;0;0;2;24;0;0;0;16;0;0;2;0;0;2;0.17519639339670054;0;2;0;0;1;0;10;0;0;-0.11313110589981079;1.9300798160971429;9;5;0;13341;15;22;Ashe;0;7;212;4666;212;9009;6;3;0;1;True;False;False;False;False;False;False;10306;9975;UTILITY;0;0;1;3864;2055;4005;3158;3042;6609;3364;25;0;2;BOTTOM;176;0;1;557;10752;8909;10840;4;0;1;0;0;1;10;0;55351;17609;4884;5387;V2R-PdStOTRlf7hzAh9ErJNNjwG7xaEC3s0kEfMU6SfPacjl6lZSzHYyjrf93wCdQ5t4VL4I5zuC6g;0;;;SUPPORT;0;7;181;21;23;6;4;7;3;LQeU_t1A9C5sQiCndRCMSYfF-q55ysh7XjhEMBrHF7FlaOc;561;Babyface Ray;False;200;UTILITY;90;2208;67467;27882;0;16364;897;0;51;663;203;1;0;1363;1363;639;0;8;0;71;5;9;27;False;1655914867.415;06/22/2022 - 18:21:07;0;0;4005;1;1308.0619174661874;499.9924232114088;;;;;;1;;0.32293033783207536;;;1;
6;0;0;0;427;0;4;1;0;150;1;0;0;1049.1860837083163;0.13873921150920993;0;6;99;0;0;0;0;0;20;4;0;0;0;0;0;1;2507.5584871;0;349.17751724611406;0;0;2;0;0;0;0;0;1.8333333333333333;0;0.39285714285714285;0;0;0;0;2;0;2;3;74;0;0;22;0;1;-116.00000008940697;0;0;1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;11;88;0;0;0;4;10;0;0;0;11;0;0;0;0;0;1;0.24340780476364116;0;1;0;0;0;1;5;0;0;0.20360755920410156;0.38043600390704035;1;0;0;16585;17;115;Ziggs;0;2;6856;11109;6856;13400;6;0;1;0;True;False;False;False;False;False;False;14593;13550;BOTTOM;0;0;2;6653;3157;3020;3040;4645;1026;3340;19;1;5;BOTTOM;0;2;2;907;205410;41573;11857;8;0;1;0;0;0;4;0;10520;1022;12071;5387;V2R-PdStOTRlf7hzAh9ErJNNjwG7xaEC3s0kEfMU6SfPacjl6lZSzHYyjrf93wCdQ5t4VL4I5zuC6g;0;;;CARRY;0;216;101;94;16;5;4;4;12;LQeU_t1A9C5sQiCndRCMSYfF-q55ysh7XjhEMBrHF7FlaOc;561;Babyface Ray;False;100;BOTTOM;26;2507;222182;43848;0;25376;2438;0;264;408;269;1;0;6251;1251;1447;1;10;0;15;0;1;10;False;1655912137.721;06/22/2022 - 17:35:37;0;0;6653;;1532.1741043;;;;;;783.5014563;;;;;;;
15;0;2;0;477;0;4;0;0;450;0;0;5;1053.072902049395;0.1019569935705087;0;2;112;0;0;2173.99951171875;0;0;26;0;0;0;0;0;1;2;2309.602386279917;0;417.7734117707385;0;0;9;0;0;0;0;0;10.5;4;0.5121951219512195;0;0;0;0;0;0;0;6;78;0;0;104.7999999821186;1;2;-124.00000008940697;0;0;0;0;0;1;0;0;0;16;0;0;0;0;0;0;0;13;77;0;0;0;3;13;0;2;0;21;0;0;3;0;0;1;0.2688361464502997;0;0;0;0;3;2;0;0;0;0.44825243949890137;0.8567526038382555;2;0;0;20738;18;99;Lux;0;11;3744;3837;3744;11285;2;5;0;0;True;False;False;False;False;False;True;16081;15515;MIDDLE;1;1;0;3089;3157;4628;1052;6655;3020;3340;30;2;6;MIDDLE;0;3;1;1367;221975;36517;2114;4;0;0;0;0;0;8;0;15324;1392;7759;24;J7Imj7aCxAclhE8hYmw2w3GOarNoub9kp0clXGP7HloQrhb55n6djcO_4_PcUPqs8F6b5eHzcD-zcQ;0;;;SOLO;0;94;35;320;28;3;12;4;4;IzR1HYIO15bFKDxgEmTU-k-Dn_hFPa0kSnO_mRE6UrqxIOT5;119;KevtheGreat2;False;200;MIDDLE;53;2309;240234;40536;2173;12846;823;0;296;631;94;1;0;2934;2626;2973;0;6;0;32;6;2;18;True;1655931354.584;06/22/2022 - 22:55:54;0;0;6655;1;1925.03677118521;;1;;;;;;1;0.17075969241364658;;;;
4;0;0;0;236;0;0;0;0;0;0;0;1;698.5539893563313;0.1476980125548858;0;6;35;0;0;0;0;0;6;0;0;0;0;0;0;0;1388.4581901911506;0;338.02342756879244;0;0;2;0;0;4;0;0;0.8333333333333334;0;0.5;0;0;0;0;0;0;0;12;83;0;0;20;0;1;-101.90000009536743;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;10;54;0;0;0;2;5;0;0;0;5;0;0;3;0;0;0;0.2876186726737934;0;0;0;0;0;0;0;0;0;0.19089746475219727;0.8301437277195963;0;0;0;11500;14;112;Viktor;0;9;0;0;0;10886;6;1;0;0;True;False;False;False;False;False;False;7822;7585;MIDDLE;0;0;3;1056;3157;2003;1052;4644;3020;3340;20;0;1;MIDDLE;0;0;1;363;91822;15401;3628;4;0;1;0;0;0;2;0;12722;763;8764;24;J7Imj7aCxAclhE8hYmw2w3GOarNoub9kp0clXGP7HloQrhb55n6djcO_4_PcUPqs8F6b5eHzcD-zcQ;0;;;SOLO;0;84;15;79;58;2;12;3;4;IzR1HYIO15bFKDxgEmTU-k-Dn_hFPa0kSnO_mRE6UrqxIOT5;119;KevtheGreat2;False;100;MIDDLE;16;1388;107040;16165;0;12848;392;0;179;172;155;1;0;2495;0;455;0;11;0;19;2;0;6;False;1655928479.869;06/22/2022 - 22:07:59;0;0;4644;;;;;;;;;;;0.5391981844147781;;;;
